Date,Open,High,Low,Close,Adj Close,Volume
2013-06-25,971.0,976.8499755859376,925.0,952.25,907.024169921875,247535
2013-06-26,945.0,960.0,916.0,944.0999755859376,899.261474609375,316339
2013-06-27,945.2000122070312,997.5999755859376,945.2000122070312,981.6500244140624,935.0281372070312,380039
2013-06-28,976.0,1071.199951171875,972.0499877929688,1053.449951171875,1003.4179077148438,440545
2013-07-01,1054.0,1054.0,998.0,1005.75,957.9834594726562,241855
2013-07-02,1016.0,1035.0,983.2000122070312,990.1500244140624,943.124267578125,305038
2013-07-03,990.0,990.0,935.0,941.2999877929688,896.5944213867188,343907
2013-07-04,950.0,965.0,933.0,937.5,892.9747924804688,184416
2013-07-05,946.0,968.0,946.0,962.8499755859376,917.1209716796876,141925
2013-07-08,960.0,969.9500122070312,949.0,954.7999877929688,909.4532470703124,111839
2013-07-09,966.0,975.0,957.0,969.9500122070312,923.8837280273438,263940
2013-07-10,970.0,987.8499755859376,965.0,971.2000122070312,925.0744018554688,194953
2013-07-11,975.0,1000.0,975.0,980.5999755859376,934.0279541015624,222039
2013-07-12,989.0,992.0999755859376,970.2000122070312,984.4000244140624,937.6473388671876,125914
2013-07-15,992.7999877929688,992.7999877929688,963.9500122070312,968.5,922.5026245117188,156131
2013-07-16,951.2000122070312,985.5,951.2000122070312,980.25,933.6945190429688,245020
2013-07-17,975.0499877929688,1000.0,975.0499877929688,996.9500122070312,949.6013793945312,168724
2013-07-18,998.0,1007.0,970.0999755859376,988.1500244140624,941.2192993164062,160113
2013-07-19,982.2000122070312,996.5,982.2000122070312,988.1500244140624,941.2192993164062,81978
2013-07-22,978.1500244140624,998.9000244140624,969.0,974.0499877929688,927.7889404296876,42435
2013-07-23,975.2000122070312,1009.0,975.2000122070312,992.1500244140624,945.0293579101562,186929
2013-07-24,992.0,1006.0,981.0499877929688,994.7999877929688,947.5535278320312,142466
2013-07-25,993.0,997.9000244140624,960.6500244140624,969.7000122070312,928.780517578125,96471
2013-07-26,979.7999877929688,989.9000244140624,943.2000122070312,949.3499755859376,909.2893676757812,992766
2013-07-29,960.0,970.9000244140624,950.0,957.4000244140624,916.999755859375,49235
2013-07-30,964.9500122070312,964.9500122070312,933.5,956.25,915.8981323242188,122960
2013-07-31,964.0,964.0,927.1500244140624,938.1500244140624,898.5618896484375,129025
2013-08-01,938.1500244140624,957.4000244140624,925.0,944.5499877929688,904.69189453125,86123
2013-08-02,945.0,967.75,930.75,950.3499755859376,910.2470703125,105098
2013-08-05,950.3499755859376,972.5,950.3499755859376,963.9500122070312,923.2732543945312,152892
2013-08-06,963.0,965.5,945.0999755859376,959.25,918.7715454101562,140861
